Trip #,Date,Day,Pickup Time,Duration,Distance (mi),Total,$/Minute,$/Mile
1,5/7/2019,Tuesday,4:12 PM,8,3.21,$3.42 ,0.4275,1.065420561
2,5/7/2019,Tuesday,5:23 PM,15,6.09,$6.29 ,0.419333333,1.032840722
3,5/7/2019,Tuesday,5:59 PM,33,14.52,$13.95 ,0.422727273,0.960743802
4,5/7/2019,Tuesday,6:49 PM,8,2.24,$3.00 ,0.375,1.339285714
5,5/7/2019,Tuesday,7:06 PM,18,11.29,$14.98 ,0.832222222,1.32683791
6,5/8/2019,Wednesday,6:05 AM,28,24.87,$27.42 ,0.979285714,1.102533172
7,5/8/2019,Wednesday,7:01 AM,13,8.80,$8.66 ,0.666153846,0.984090909
8,5/8/2019,Wednesday,7:35 AM,18,12.19,$10.25 ,0.569444444,0.840853158
9,5/8/2019,Wednesday,9:38 AM,7,2.34,$6.50 ,0.928571429,2.777777778
10,5/8/2019,Wednesday,11:15 AM,11,9.27,$9.49 ,0.862727273,1.02373247
11,5/8/2019,Wednesday,2:28 PM,9,5.51,$4.94 ,0.548888889,0.896551724
12,5/8/2019,Wednesday,2:41 PM,5,1.22,$6.56 ,1.312,5.37704918
13,5/8/2019,Wednesday,6:35 PM,1,0.69,$5.01 ,5.01,7.260869565
14,5/8/2019,Wednesday,6:45 PM,7,2.97,$3.26 ,0.465714286,1.097643098
15,5/9/2019,Thursday,3:35 AM,22,19.82,$15.52 ,0.705454545,0.783047427
16,5/9/2019,Thursday,4:05 AM,15,11.54,$13.40 ,0.893333333,1.16117851
17,5/9/2019,Thursday,5:10 AM,17,16.34,$12.52 ,0.736470588,0.76621787
18,5/9/2019,Thursday,5:39 AM,9,4.24,$4.22 ,0.468888889,0.995283019
19,5/9/2019,Thursday,6:36 AM,8,3.71,$4.11 ,0.51375,1.107816712
20,5/9/2019,Thursday,7:31 AM,18,3.87,$12.33 ,0.685,3.186046512
21,5/9/2019,Thursday,7:50 AM,12,6.15,$10.88 ,0.906666667,1.769105691
22,5/9/2019,Thursday,1:14 PM,30,29.66,$22.30 ,0.743333333,0.751854349
23,5/9/2019,Thursday,2:57 PM,23,4.51,$6.48 ,0.28173913,1.436807095
24,5/9/2019,Thursday,3:46 PM,11,4.35,$4.62 ,0.42,1.062068966
25,5/10/2019,Friday,4:15 AM,9,4.07,$4.09 ,0.454444444,1.004914005
26,5/10/2019,Friday,4:20 AM,11,8.87,$8.54 ,0.776363636,0.962795941
27,5/10/2019,Friday,5:28 AM,16,11.46,$11.59 ,0.724375,1.011343805
28,5/10/2019,Friday,6:03 AM,13,11.55,$12.16 ,0.935384615,1.052813853
29,5/10/2019,Friday,6:33 AM,9,6.76,$5.75 ,0.638888889,0.850591716
30,5/10/2019,Friday,6:43 AM,17,16.16,$12.38 ,0.728235294,0.766089109
31,5/10/2019,Friday,7:23 AM,8,2.48,$3.21 ,0.40125,1.294354839
32,5/10/2019,Friday,7:38 AM,16,7.31,$7.05 ,0.440625,0.964432285
33,5/10/2019,Friday,8:08 AM,17,13.88,$11.09 ,0.652352941,0.798991354
34,5/10/2019,Friday,2:53 PM,24,12.33,$11.22 ,0.4675,0.909975669
35,5/10/2019,Friday,3:23 PM,5,1.23,$4.00 ,0.8,3.25203252
36,5/10/2019,Friday,3:33 PM,34,17.90,$15.99 ,0.470294118,0.893296089
37,5/10/2019,Friday,4:32 PM,5,1.50,$3.01 ,0.602,2.006666667
38,5/10/2019,Friday,7:59 PM,9,4.44,$6.38 ,0.708888889,1.436936937
39,5/10/2019,Friday,8:19 PM,16,9.40,$11.38 ,0.71125,1.210638298
40,5/10/2019,Friday,8:48 PM,6,1.93,$3.01 ,0.501666667,1.559585492
41,5/10/2019,Friday,9:09 PM,14,4.41,$10.59 ,0.756428571,2.401360544
42,5/10/2019,Friday,9:44 PM,13,4.64,$5.32 ,0.409230769,1.146551724
43,5/11/2019,Saturday,3:44 AM,9,3.99,$10.69 ,1.187777778,2.679197995
44,5/11/2019,Saturday,6:02 AM,23,20.64,$15.99 ,0.695217391,0.774709302
45,5/11/2019,Saturday,6:37 AM,10,9.72,$7.64 ,0.764,0.78600823
46,5/11/2019,Saturday,7:03 AM,14,4.67,$6.31 ,0.450714286,1.35117773
47,5/11/2019,Saturday,7:29 AM,28,21.90,$22.84 ,0.815714286,1.042922374
48,5/11/2019,Saturday,8:16 AM,9,4.92,$10.50 ,1.166666667,2.134146341
49,5/11/2019,Saturday,9:24 AM,5,3.21,$10.26 ,2.052,3.196261682
50,5/11/2019,Saturday,9:43 AM,11,7.38,$6.91 ,0.628181818,0.936314363
51,5/11/2019,Saturday,10:07 AM,7,3.57,$5.26 ,0.751428571,1.473389356
52,5/11/2019,Saturday,10:34 AM,8,4.73,$5.25 ,0.65625,1.109936575
53,5/11/2019,Saturday,11:12 AM,14,10.38,$8.57 ,0.612142857,0.825626204
54,5/11/2019,Saturday,11:43 AM,9,4.85,$5.26 ,0.584444444,1.084536082
55,5/11/2019,Saturday,12:01 PM,9,6.47,$6.57 ,0.73,1.015455951
56,5/11/2019,Saturday,12:16 PM,7,3.79,$5.25 ,0.75,1.385224274
57,5/11/2019,Saturday,7:31 PM,11,4.60,$4.74 ,0.430909091,1.030434783
58,5/11/2019,Saturday,7:45 PM,6,1.79,$3.01 ,0.501666667,1.681564246
59,5/11/2019,Saturday,7:57 PM,10,5.96,$5.47 ,0.547,0.917785235
60,5/11/2019,Saturday,8:19 PM,17,12.70,$10.37 ,0.61,0.816535433
61,5/11/2019,Saturday,8:55 PM,8,2.81,$4.32 ,0.54,1.537366548
62,5/11/2019,Saturday,9:14 PM,4,2.25,$3.01 ,0.7525,1.337777778
63,5/11/2019,Saturday,9:33 PM,26,16.84,$20.74 ,0.797692308,1.231591449
64,5/11/2019,Saturday,10:23 PM,23,10.31,$9.88 ,0.429565217,0.958292919
65,5/12/2019,Sunday,3:37 AM,19,17.26,$13.47 ,0.708947368,0.780417149
66,5/12/2019,Sunday,4:08 AM,13,6.30,$5.99 ,0.460769231,0.950793651
67,5/12/2019,Sunday,4:40 AM,11,4.77,$8.64 ,0.785454545,1.811320755
68,5/12/2019,Sunday,5:05 AM,25,25.20,$18.93 ,0.7572,0.751190476
69,5/12/2019,Sunday,5:44 AM,19,11.22,$15.31 ,0.805789474,1.364527629
70,5/12/2019,Sunday,6:22 AM,7,3.42,$3.53 ,0.504285714,1.032163743
71,5/12/2019,Sunday,6:44 AM,19,2.85,$4.94 ,0.26,1.733333333
72,5/12/2019,Sunday,7:15 AM,16,16.98,$19.07 ,1.191875,1.123085984
73,5/13/2019,Monday,3:20 AM,39,33.08,$46.55 ,1.193589744,1.40719468
74,5/13/2019,Monday,4:15 AM,17,9.62,$12.10 ,0.711764706,1.257796258
75,5/13/2019,Monday,5:16 AM,12,6.93,$8.32 ,0.693333333,1.200577201
76,5/13/2019,Monday,6:05 AM,31,19.85,$21.84 ,0.704516129,1.100251889
77,5/13/2019,Monday,7:07 AM,4,1.40,$3.00 ,0.75,2.142857143
78,5/13/2019,Monday,7:16 AM,11,5.12,$5.11 ,0.464545455,0.998046875
79,5/13/2019,Monday,7:34 AM,10,4.49,$4.58 ,0.458,1.020044543
80,5/13/2019,Monday,7:47 AM,32,26.31,$20.62 ,0.644375,0.783732421
81,5/13/2019,Monday,8:54 AM,14,4.95,$7.38 ,0.527142857,1.490909091
82,5/13/2019,Monday,9:53 PM,17,14.18,$12.29 ,0.722941176,0.866713681
83,5/13/2019,Monday,10:17 PM,3,0.69,$3.01 ,1.003333333,4.362318841
84,5/14/2019,Tuesday,3:27 AM,16,12.55,$10.17 ,0.635625,0.810358566
85,5/14/2019,Tuesday,3:46 AM,10,6.90,$8.94 ,0.894,1.295652174
86,5/14/2019,Tuesday,5:01 AM,20,20.64,$20.73 ,1.0365,1.004360465
87,5/14/2019,Tuesday,5:30 AM,13,7.45,$7.22 ,0.555384615,0.969127517
88,5/14/2019,Tuesday,6:37 AM,10,5.04,$4.89 ,0.489,0.970238095
89,5/14/2019,Tuesday,7:02 AM,22,22.94,$17.10 ,0.777272727,0.745422842
90,5/14/2019,Tuesday,8:11 AM,9,4.83,$4.80 ,0.533333333,0.99378882
91,5/14/2019,Tuesday,8:37 AM,7,2.59,$6.01 ,0.858571429,2.32046332
92,5/14/2019,Tuesday,9:09 AM,16,8.01,$7.51 ,0.469375,0.937578027
93,5/14/2019,Tuesday,10:14 AM,21,13.92,$14.68 ,0.699047619,1.054597701
94,5/14/2019,Tuesday,10:40 AM,6,4.04,$3.74 ,0.623333333,0.925742574
95,5/14/2019,Tuesday,11:21 AM,14,11.70,$9.43 ,0.673571429,0.805982906
96,5/14/2019,Tuesday,11:54 AM,5,2.28,$3.01 ,0.602,1.320175439
97,5/14/2019,Tuesday,12:24 PM,13,10.71,$8.65 ,0.665384615,0.807656396
98,5/14/2019,Tuesday,1:25 PM,22,10.67,$9.90 ,0.45,0.927835052
99,5/14/2019,Tuesday,1:54 PM,22,11.44,$15.55 ,0.706818182,1.359265734
100,5/14/2019,Tuesday,8:47 PM,19,13.82,$14.38 ,0.756842105,1.040520984
101,5/14/2019,Tuesday,9:15 PM,5,0.76,$3.02 ,0.604,3.973684211
102,5/14/2019,Tuesday,9:24 PM,31,32.45,$24.00 ,0.774193548,0.739599384
103,5/15/2019,Wednesday,3:23 AM,11,6.88,$6.11 ,0.555454545,0.888081395
104,5/15/2019,Wednesday,3:51 AM,18,15.12,$12.26 ,0.681111111,0.810846561
105,5/15/2019,Wednesday,4:22 AM,10,7.21,$6.07 ,0.607,0.841886269
106,5/15/2019,Wednesday,4:32 AM,3,0.75,$3.01 ,1.003333333,4.013333333
107,5/15/2019,Wednesday,5:13 AM,16,6.64,$6.73 ,0.420625,1.013554217
108,5/15/2019,Wednesday,5:48 AM,9,3.59,$4.43 ,0.492222222,1.233983287
109,5/15/2019,Wednesday,8:11 AM,18,4.63,$5.87 ,0.326111111,1.267818575
110,5/15/2019,Wednesday,8:36 AM,4,0.41,$7.50 ,1.875,18.29268293
111,5/15/2019,Wednesday,8:46 AM,8,2.09,$3.00 ,0.375,1.435406699
112,5/15/2019,Wednesday,11:34 AM,17,12.05,$10.24 ,0.602352941,0.849792531
113,5/15/2019,Wednesday,12:09 PM,9,1.83,$5.01 ,0.556666667,2.737704918
114,5/15/2019,Wednesday,12:24 PM,8,2.05,$3.35 ,0.41875,1.634146341
115,5/15/2019,Wednesday,12:46 PM,10,3.64,$5.02 ,0.502,1.379120879
116,5/15/2019,Wednesday,1:27 PM,22,15.71,$13.68 ,0.621818182,0.870782941
117,5/15/2019,Wednesday,2:26 PM,21,12.04,$10.57 ,0.503333333,0.877906977
118,5/15/2019,Wednesday,3:01 PM,24,21.63,$16.68 ,0.695,0.771151179
119,5/15/2019,Wednesday,3:35 PM,48,31.84,$31.97 ,0.666041667,1.004082915
120,5/16/2019,Thursday,3:25 AM,17,10.34,$21.37 ,1.257058824,2.066731141
121,5/16/2019,Thursday,4:39 AM,12,3.34,$4.14 ,0.345,1.239520958
122,5/16/2019,Thursday,4:54 AM,14,8.08,$7.22 ,0.515714286,0.893564356
123,5/16/2019,Thursday,5:33 AM,12,9.10,$7.49 ,0.624166667,0.823076923
124,5/16/2019,Thursday,5:35 AM,23,21.43,$16.63 ,0.723043478,0.776014932
125,5/16/2019,Thursday,6:25 AM,16,9.36,$12.24 ,0.765,1.307692308
126,5/16/2019,Thursday,7:18 AM,21,8.06,$8.22 ,0.391428571,1.019851117
127,5/16/2019,Thursday,7:47 AM,16,6.98,$6.87 ,0.429375,0.984240688
128,5/16/2019,Thursday,8:17 AM,8,2.09,$3.00 ,0.375,1.435406699
129,5/16/2019,Thursday,8:33 AM,18,3.81,$6.85 ,0.380555556,1.797900262
130,5/16/2019,Thursday,9:06 AM,15,11.30,$9.34 ,0.622666667,0.826548673
131,5/16/2019,Thursday,9:34 AM,19,12.65,$13.69 ,0.720526316,1.082213439
132,5/16/2019,Thursday,9:58 AM,11,3.01,$3.80 ,0.345454545,1.262458472
133,5/16/2019,Thursday,7:36 PM,16,11.59,$10.66 ,0.66625,0.919758412
134,5/16/2019,Thursday,8:06 PM,10,2.22,$3.23 ,0.323,1.454954955
135,5/16/2019,Thursday,8:26 PM,9,1.62,$8.01 ,0.89,4.944444444
136,5/16/2019,Thursday,8:39 PM,5,1.48,$3.33 ,0.666,2.25
137,5/16/2019,Thursday,8:54 PM,3,0.73,$3.01 ,1.003333333,4.123287671
138,5/17/2019,Friday,12:48 AM,22,17.91,$14.34 ,0.651818182,0.800670017
139,5/17/2019,Friday,1:13 AM,7,3.63,$3.58 ,0.511428571,0.986225895
